Id_cliente,fecha_efectiva,Id_tx,clase,valor
147,2021-01-15,7036,COMPRA,859.0
124,2021-02-06,7834,COMPRA,281928.0
124,2021-02-06,7834,AVANCE,700000.0
110,2020-09-01,7834,COMPRA,281928.0
110,2020-09-01,7834,AVANCE,700000.0
126,2021-01-30,6836,COMPRA,18550.0
112,2021-01-06,4243,COMPRA,3028000.0
125,2021-01-31,8603,COMPRA,163944.0
125,2021-01-31,8603,COMPRA,33930.0
125,2021-01-31,8603,COMPRA,44499.0
118,2021-02-27,8603,COMPRA,163944.0
118,2021-02-27,8603,COMPRA,33930.0
118,2021-02-27,8603,COMPRA,44499.0
132,2020-11-04,8603,COMPRA,163944.0
132,2020-11-04,8603,COMPRA,33930.0
132,2020-11-04,8603,COMPRA,44499.0
117,2020-11-21,2755,COMPRA,1285194.0
132,2021-01-11,6269,COMPRA,167309.0
112,2021-01-12,4853,AVANCE,700000.0
142,2021-01-31,3514,AVANCE,100000.0
119,2020-10-31,5273,AVANCE,150000.0
119,2020-10-31,5273,COMPRA,117775.0
136,2020-12-07,5273,AVANCE,150000.0
136,2020-12-07,5273,COMPRA,117775.0
125,2021-01-29,8886,COMPRA,108011.0
120,2021-02-03,3376,COMPRA,331967.0
109,2020-09-07,3207,COMPRA,24900.0
139,2020-12-21,6867,COMPRA,97810.0
114,2020-11-24,8292,AVANCE,300000.0
123,2021-02-25,5278,COMPRA,113935.0
123,2020-12-04,6886,COMPRA,282506.0
119,2020-12-05,9403,AVANCE,70000.0
165,2020-12-01,3562,COMPRA,80000.0
112,2020-10-01,7206,COMPRA,12422.87
132,2020-11-11,9619,COMPRA,214638.0
108,2020-11-12,8022,COMPRA,101015.0
124,2020-10-22,4162,AVANCE,200000.0
124,2020-10-22,4162,COMPRA,64870.0
131,2020-12-07,4162,AVANCE,200000.0
131,2020-12-07,4162,COMPRA,64870.0
140,2021-02-02,7189,AVANCE,800000.0
115,2020-12-18,3941,COMPRA,23400.0
115,2020-12-18,3941,COMPRA,11643.0
127,2020-09-22,3941,COMPRA,23400.0
127,2020-09-22,3941,COMPRA,11643.0
131,2020-12-30,7117,COMPRA,11900.0
131,2020-12-30,7117,COMPRA,208238.0
128,2020-11-27,7117,COMPRA,11900.0
128,2020-11-27,7117,COMPRA,208238.0
118,2020-11-05,6688,AVANCE,800000.0
